"Fon","Feature_Set","Input","Output","Dropout","Seed_23","Seed_27","Seed_98","Filters","Kernel","Dense","Mean_Acc","SD","Min_Acc","Max_Acc","P_Value","F1","Sens","Spec"
"ALZ","full",2,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",2,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",2,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",4,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","full",6,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",2,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,1,"adam",0.9375,0.96875,1,"relu",0,0,0.9737,0.0263,0.9375,1,0,1,1,NA
"ALZ","technical",4,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",4,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","technical",6,1,"adam",0.96875,1,1,"relu",0,1,0.9907,0.016,0.96875,1,0,1,1,NA
"ALZ","technical",6,3,"adam",0.90625,0.96875,1,"relu",0,0,0.9608,0.0449,0.90625,1,0,1,1,NA
"ALZ","technical",6,5,"adam",0.8125,1,1,"relu",0,1,0.9375,0.1083,0.8125,1,0,1,1,NA
"ALZ","closing",2,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",2,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",4,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,1,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,3,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"ALZ","closing",6,5,"adam",1,1,1,"relu",0,1,1,0,1,1,0,1,1,NA
"AZS","full",2,1,"adam",0.625,0.71875,0.71875,"relu",0,0,0.6833,0.052,0.625,0.71875,0.0032,0.8,0.8148,0.5385
"AZS","full",2,3,"adam",0.5625,0.59375,0.625,"relu",0,0,0.5877,0.0304,0.5625,0.625,0.1279,0.7541,0.8846,0
"AZS","full",2,5,"adam",0.6667,0.6667,0.6667,"relu",0,0.6667,0.6667,0,0.6667,0.6667,0.0326,0.7931,0.9583,0.0833
"AZS","full",4,1,"adam",0.40625,0.5625,0.625,"relu",0,0,0.5263,0.1147,0.40625,0.625,0.1279,0.7059,0.72,0.3846
"AZS","full",4,3,"sgd",0.6875,0.6875,0.75,"tanh",0.2,0,0.7037,0.0321,0.6875,0.75,0.0057,0.8387,1,0
"AZS","full",4,5,"adam",0.6765,0.6765,0.6765,"tanh",0,0.6765,0.6765,0,0.6765,0.6765,0.0288,0.807,1,0
"AZS","full",6,1,"adam",0.625,0.65625,0.71875,"tanh",0.4,0,0.6667,0.0481,0.625,0.71875,0.0144,0.807,0.9583,0.1667
"AZS","full",6,3,"adam",0.65625,0.6875,0.6875,"tanh",0,0,0.6863,0.017,0.65625,0.6875,0.0122,0.8148,0.88,0.2222
"AZS","full",6,5,"sgd",0.40625,0.65625,0.6875,"relu",0.2,0,0.5833,0.1542,0.40625,0.6875,0.0251,0.8148,0.9565,0
"AZS","technical",2,1,"sgd",0.25,0.4375,0.625,"relu",0.2,0,0.4417,0.1843,0.25,0.625,0.0403,0.7667,0.8519,0.2308
"AZS","technical",2,3,"sgd",0.40625,0.5625,0.65625,"relu",0.2,0,0.5439,0.1244,0.40625,0.65625,0.0168,0.8125,1,0
"AZS","technical",2,5,"adam",0.625,0.65625,0.65625,"relu",0,0,0.6481,0.016,0.625,0.65625,0.0326,0.8,1,0
"AZS","technical",4,1,"sgd",0.5,0.5,0.65625,"tanh",0.2,0,0.5526,0.0912,0.5,0.65625,0.0365,0.7937,1,0
"AZS","technical",4,3,"adam",0.5,0.625,0.65625,"tanh",0,0,0.5926,0.0802,0.5,0.65625,0.0662,0.7797,0.8846,0
"AZS","technical",4,5,"sgd",0.6765,0.6765,0.6765,"tanh",0,0.6765,0.6765,0,0.6765,0.6765,0.0288,0.807,1,0
"AZS","technical",6,1,"sgd",0.40625,0.5,0.53125,"relu",0,0,0.4815,0.0578,0.40625,0.53125,0.434,0.6792,0.75,0.0833
"AZS","technical",6,3,"sgd",0.53125,0.53125,0.6875,"relu",0,0,0.5784,0.0849,0.53125,0.6875,0.0288,0.8,0.88,0.1111
"AZS","technical",6,5,"sgd",0.375,0.625,0.71875,"tanh",0,0,0.5729,0.1777,0.375,0.71875,0.01,0.8364,1,0
"AZS","closing",2,1,"adam",0.675,0.675,0.675,"relu",0,0.675,0.675,0,0.675,0.675,0.0192,0.806,1,0
"AZS","closing",2,3,"adam",0.6842,0.6842,0.6842,"relu",0,0.6842,0.6842,0,0.6842,0.6842,0.0168,0.8125,1,0
"AZS","closing",2,5,"adam",0.6667,0.6667,0.6667,"relu",0,0.6667,0.6667,0,0.6667,0.6667,0.0326,0.8,1,0
"AZS","closing",4,1,"adam",0.6579,0.6579,0.6579,"relu",0,0.6579,0.6579,0,0.6579,0.6579,0.0365,0.7937,1,0
"AZS","closing",4,3,"adam",0.7222,0.7222,0.7222,"relu",0,0.7222,0.7222,0,0.7222,0.7222,0.0057,0.8387,1,0
"AZS","closing",4,5,"adam",0.6765,0.6765,0.6765,"relu",0,0.6765,0.6765,0,0.6765,0.6765,0.0288,0.807,1,0
"AZS","closing",6,1,"adam",0.6667,0.6667,0.6667,"relu",0,0.6667,0.6667,0,0.6667,0.6667,0.0326,0.8,1,0
"AZS","closing",6,3,"adam",0.7353,0.7353,0.7353,"relu",0,0.7353,0.7353,0,0.7353,0.7353,0.0045,0.8475,1,0
"AZS","closing",6,5,"adam",0.7188,0.7188,0.7188,"relu",0,0.7188,0.7188,0,0.7188,0.7188,0.01,0.8364,1,0
"AMZ","full",2,1,"sgd",0.5,0.5,0.53125,"relu",0,0,0.5083,0.0144,0.5,0.53125,0.4373,0.6122,0.5769,0.4286
"AMZ","full",2,3,"adam",0.46875,0.5,0.53125,"relu",0.2,0,0.5,0.0263,0.46875,0.53125,0.4357,0.6667,0.6923,0.1667
"AMZ","full",2,5,"sgd",0.8056,0.8056,0.8056,"tanh",0,0.8056,0.8056,0,0.8056,0.8056,2e-04,0.8923,1,0
"AMZ","full",4,1,"adam",0.46875,0.53125,0.53125,"relu",0,0,0.5088,0.0304,0.46875,0.53125,0.4357,0.6667,0.75,0.1429
"AMZ","full",4,3,"adam",0.59375,0.625,0.65625,"tanh",0,0,0.6204,0.0321,0.59375,0.65625,0.0662,0.7347,0.75,0.4167
"AMZ","full",4,5,"sgd",0.7647,0.7647,0.7647,"tanh",0,0.7647,0.7647,0,0.7647,0.7647,0.0015,0.8621,0.9259,0.1429
"AMZ","full",6,1,"adam",0.59375,0.65625,0.6875,"tanh",0,0,0.6481,0.0424,0.59375,0.6875,0.0144,0.7755,0.8636,0.4286
"AMZ","full",6,3,"adam",0.375,0.5,0.59375,"relu",0,0,0.4902,0.1114,0.375,0.59375,0.1147,0.7111,0.7273,0.4167
"AMZ","full",6,5,"sgd",0.625,0.65625,0.65625,"relu",0,0,0.6458,0.018,0.625,0.65625,0.0551,0.7843,0.8,0.1429
"AMZ","technical",2,1,"adam",0.46875,0.5,0.5625,"relu",0.4,0,0.5083,0.052,0.46875,0.5625,0.3179,0.6897,0.7692,0.1429
"AMZ","technical",2,3,"sgd",0.53125,0.65625,0.6875,"relu",0,0,0.6228,0.0846,0.53125,0.6875,0.0168,0.8125,1,0
"AMZ","technical",2,5,"adam",0.59375,0.65625,0.6875,"relu",0,0,0.6481,0.0424,0.59375,0.6875,0.0144,0.8136,0.8276,0.1429
"AMZ","technical",4,1,"sgd",0.375,0.59375,0.75,"tanh",0.2,0,0.5702,0.1867,0.375,0.75,0.0025,0.8148,0.9167,0.4286
"AMZ","technical",4,3,"adam",0.625,0.625,0.75,"relu",0.2,0,0.6667,0.0735,0.625,0.75,0.0057,0.7727,0.7083,0.75
"AMZ","technical",4,5,"sgd",0.25,0.53125,0.8125,"relu",0.4,0,0.5294,0.2836,0.25,0.8125,0.0045,0.8475,0.9259,0
"AMZ","technical",6,1,"adam",0.34375,0.40625,0.6875,"relu",0,0,0.4722,0.1822,0.34375,0.6875,0.0326,0.6842,0.5909,0.7857
"AMZ","technical",6,3,"sgd",0.46875,0.53125,0.75,"relu",0.2,0,0.5784,0.1509,0.46875,0.75,0.0122,0.8,0.9091,0.3333
"AMZ","technical",6,5,"sgd",0.5,0.71875,0.71875,"relu",0,0,0.6458,0.1263,0.5,0.71875,0.0011,0.8571,0.84,0.5714
"AMZ","closing",2,1,"adam",0.65,0.65,0.65,"relu",0,0.65,0.65,0,0.65,0.65,0.0403,0.7879,1,0
"AMZ","closing",2,3,"adam",0.6842,0.6842,0.6842,"relu",0,0.6842,0.6842,0,0.6842,0.6842,0.0168,0.8125,1,0
"AMZ","closing",2,5,"adam",0.8056,0.8056,0.8056,"relu",0,0.8056,0.8056,0,0.8056,0.8056,2e-04,0.8923,1,0
"AMZ","closing",4,1,"adam",0.6316,0.6316,0.6316,"relu",0,0.6316,0.6316,0,0.6316,0.6316,0.0717,0.7742,1,0
"AMZ","closing",4,3,"adam",0.6667,0.6667,0.6667,"relu",0,0.6667,0.6667,0,0.6667,0.6667,0.0326,0.8,1,0
"AMZ","closing",4,5,"adam",0.7941,0.7941,0.7941,"relu",0,0.7941,0.7941,0,0.7941,0.7941,4e-04,0.8852,1,0
"AMZ","closing",6,1,"adam",0.6111,0.6111,0.6111,"relu",0,0.6111,0.6111,0,0.6111,0.6111,0.1215,0.7586,1,0
"AMZ","closing",6,3,"adam",0.6471,0.6471,0.6471,"relu",0,0.6471,0.6471,0,0.6471,0.6471,0.0607,0.7857,1,0
"AMZ","closing",6,5,"adam",0.7812,0.7812,0.7812,"relu",0,0.7812,0.7812,0,0.7812,0.7812,0.0011,0.8772,1,0
